MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
373686;11049,86;5,21;4,29;40;01/01/2020
388693;11408,08;6,13;4,42;0;02/01/2020
369654;10790,46;5,5;5,29;31;03/01/2020
383225;11260,85;6,38;3,29;240;04/01/2020
396924;11696,14;3,42;3,79;5;05/01/2020
368927;10838,81;4,67;5,83;0;06/01/2020
365760;10678,15;5,54;5,83;70;07/01/2020
353054;10340,4;5,92;6,5;46;08/01/2020
366814;10663,38;3,83;5,21;0;09/01/2020
369348;10740,52;3,42;4,04;17;10/01/2020
393587;11384,6;6,83;4,5;0;11/01/2020
342459;10056,95;4,25;6,38;0;12/01/2020
380597;11084,02;3,92;4,25;74;13/01/2020
357564;10391,62;7,67;6,96;60;14/01/2020
344338;10149,67;7,08;7,08;0;15/01/2020
367589;10828,92;5,17;5,75;136;16/01/2020
359675;10549,62;3,71;5,88;122;17/01/2020
360757;10525,77;5,04;4,29;50;18/01/2020
377291;11057,47;3,63;3,17;359;19/01/2020
382960;11190,07;4,5;5,29;40;20/01/2020
366783;10676,54;6,08;5,71;0;21/01/2020
1005231;10651,23;3,79;4,21;311;22/01/2020
366514;10714,74;4,17;5,21;0;23/01/2020
1240536,93;10393,56;4,38;5,75;2;24/01/2020
340646;10143,44;3,38;5,29;6;25/01/2020
361220;10716,83;4,04;3,92;1;26/01/2020
358323;10647,42;3,79;5,38;10;27/01/2020
357249;10558,61;4,38;4,17;6;28/01/2020
368482;10996,21;4,67;4,13;189;29/01/2020
357692;10656,03;6,75;6,38;0;30/01/2020
344571;10303,25;6,46;7,13;1;31/01/2020
321265;9686,59;8,17;7,25;18;01/02/2020
360596;10880,77;3,88;3,21;77;02/02/2020
370355;11057,62;3,71;4,29;26;03/02/2020
379796;11419,48;4,29;2,46;238;04/02/2020
414735;12568,61;3,75;2,21;270;05/02/2020
372366;11141,3;5,33;5,88;15;06/02/2020
362260;10891,3;2,46;4,17;0;07/02/2020
373840;10325,02;3,79;3,17;55;08/02/2020
361231;9915,54;10,38;6,33;0;09/02/2020
368858;10104,99;8,42;4,58;64;10/02/2020
385838;10699,18;7,33;3,21;80;11/02/2020
408866;11372,86;7,42;3,17;42;12/02/2020
396734;10911,92;3,42;2,54;128;13/02/2020
394207;10834,24;2,63;2,88;67;14/02/2020
361897;9993,87;6,5;6,42;0;15/02/2020
330720;9195,07;9,67;7,83;0;16/02/2020
388436;10851,93;9,58;6,04;35;17/02/2020
383656;10638,85;6,88;4,75;129;18/02/2020
373365;10429,33;4,42;3,96;209;19/02/2020
379325;10494,09;6,38;4,71;0;20/02/2020
384874;10700,73;7,5;4,96;80;21/02/2020
365036;10220,38;11,08;6;79;22/02/2020
384325;10735,76;6,88;4,04;16;23/02/2020
404080;11174,78;3,88;2,96;0;24/02/2020
409588;11277,47;8,88;3,13;13;25/02/2020
423705;11688,28;2,71;0,25;37;26/02/2020
402639;11596,52;1,92;1;258;27/02/2020
379753;10637,46;4,67;3,25;283;28/02/2020
361600;10088,83;5,5;4,46;86;29/02/2020
361753;10094,77;6,92;4,25;139;01/03/2020
375632;10365,84;2,79;3,5;153;02/03/2020
361162;9962,04;2,17;3,46;164;03/03/2020
380896;10561,62;2,58;2,33;312;04/03/2020
375409;10447,5;1,75;1,88;248;05/03/2020
394756;10866,92;4,83;2,08;56;06/03/2020
381646;10596,37;2,13;2,08;278;07/03/2020
357930;574952,82;6,75;6,38;0;08/03/2020
