Dato,middel_temp,middel_vind,sol_minutter,MWh,Flow
2020-01-01 00:00,4.29,5.21,40,373686,11049.86
2020-01-02 00:00,4.42,6.13,0,388693,11408.08
2020-01-03 00:00,5.29,5.5,31,369654,10790.46
2020-01-04 00:00,3.29,6.38,240,383225,11260.85
2020-01-05 00:00,3.79,3.42,5,396924,11696.14
2020-01-06 00:00,5.83,4.67,0,368927,10838.81
2020-01-07 00:00,5.83,5.54,70,365760,10678.15
2020-01-08 00:00,6.5,5.92,46,353054,10340.4
2020-01-09 00:00,5.21,3.83,0,366814,10663.38
2020-01-10 00:00,4.04,3.42,17,369348,10740.52
2020-01-11 00:00,4.5,6.83,0,393587,11384.6
2020-01-12 00:00,6.38,4.25,0,342459,10056.95
2020-01-13 00:00,4.25,3.92,74,380597,11084.02
2020-01-14 00:00,6.96,7.67,60,357564,10391.62
2020-01-15 00:00,7.08,7.08,0,344338,10149.67
2020-01-16 00:00,5.75,5.17,136,367589,10828.92
2020-01-17 00:00,5.88,3.71,122,359675,10549.62
2020-01-18 00:00,4.29,5.04,50,360757,10525.77
2020-01-19 00:00,3.17,3.63,359,377291,11057.47
2020-01-20 00:00,5.29,4.5,40,382960,11190.07
2020-01-21 00:00,5.71,6.08,0,366783,10676.54
2020-01-22 00:00,4.21,3.79,311,1005231,10651.23
2020-01-23 00:00,5.21,4.17,0,366514,10714.74
2020-01-24 00:00,5.75,4.38,2,1240536.93,10393.56
2020-01-25 00:00,5.29,3.38,6,340646,10143.44
2020-01-26 00:00,3.92,4.04,1,361220,10716.83
2020-01-27 00:00,5.38,3.79,10,358323,10647.42
2020-01-28 00:00,4.17,4.38,6,357249,10558.61
2020-01-29 00:00,4.13,4.67,189,368482,10996.21
2020-01-30 00:00,6.38,6.75,0,357692,10656.03
2020-01-31 00:00,7.13,6.46,1,344571,10303.25
2020-02-01 00:00,7.25,8.17,18,321265,9686.59
2020-02-02 00:00,3.21,3.88,77,360596,10880.77
2020-02-03 00:00,4.29,3.71,26,370355,11057.62
2020-02-04 00:00,2.46,4.29,238,379796,11419.48
2020-02-05 00:00,2.21,3.75,270,414735,12568.61
2020-02-06 00:00,5.88,5.33,15,372366,11141.3
2020-02-07 00:00,4.17,2.46,0,362260,10891.3
2020-02-08 00:00,3.17,3.79,55,373840,10325.02
2020-02-09 00:00,6.33,10.38,0,361231,9915.54
2020-02-10 00:00,4.58,8.42,64,368858,10104.99
2020-02-11 00:00,3.21,7.33,80,385838,10699.18
2020-02-12 00:00,3.17,7.42,42,408866,11372.86
2020-02-13 00:00,2.54,3.42,128,396734,10911.92
2020-02-14 00:00,2.88,2.63,67,394207,10834.24
2020-02-15 00:00,6.42,6.5,0,361897,9993.87
2020-02-16 00:00,7.83,9.67,0,330720,9195.07
2020-02-17 00:00,6.04,9.58,35,388436,10851.93
2020-02-18 00:00,4.75,6.88,129,383656,10638.85
2020-02-19 00:00,3.96,4.42,209,373365,10429.33
2020-02-20 00:00,4.71,6.38,0,379325,10494.09
2020-02-21 00:00,4.96,7.5,80,384874,10700.73
2020-02-22 00:00,6,11.08,79,365036,10220.38
2020-02-23 00:00,4.04,6.88,16,384325,10735.76
2020-02-24 00:00,2.96,3.88,0,404080,11174.78
2020-02-25 00:00,3.13,8.88,13,409588,11277.47
2020-02-26 00:00,0.25,2.71,37,423705,11688.28
2020-02-27 00:00,1,1.92,258,402639,11596.52
2020-02-28 00:00,3.25,4.67,283,379753,10637.46
2020-02-29 00:00,4.46,5.5,86,361600,10088.83
2020-03-01 00:00,4.25,6.92,139,361753,10094.77
2020-03-02 00:00,3.5,2.79,153,375632,10365.84
2020-03-03 00:00,3.46,2.17,164,361162,9962.04
2020-03-04 00:00,2.33,2.58,312,380896,10561.62
2020-03-05 00:00,1.88,1.75,248,375409,10447.5
2020-03-06 00:00,2.08,4.83,56,394756,10866.92
2020-03-07 00:00,2.08,2.13,278,381646,10596.37
2020-03-08 00:00,6.38,6.75,0,357930,574952.82
2020-03-09 00:00,6.08,2.96,89,340577,9509.39
2020-03-10 00:00,5.67,5.79,0,353673,9706.23
2020-03-11 00:00,6.21,7.21,378,329446,9282.65
2020-03-12 00:00,5.17,9.75,175,350216,9761.62
2020-03-13 00:00,3.21,5.08,208,362476,10097.58
2020-03-14 00:00,1.46,3.17,571,363791,10320.11
2020-03-15 00:00,6.21,6.79,0,347244,9724.35
2020-03-16 00:00,6.29,4.04,107,327290,9266.86
2020-03-17 00:00,6.21,5.54,44,341911,9683.67
2020-03-18 00:00,7.04,5.92,1,329638,9364.86
2020-03-19 00:00,4.79,3.08,402,319909,9102.94
2020-03-20 00:00,3.71,3.17,565,313252,8910.49
2020-03-21 00:00,1.96,2.96,645,332727,9441.68
2020-03-22 00:00,1.75,3.17,490,346548,9787.38
2020-03-23 00:00,1.92,3.67,684,356994,10064.61
2020-03-24 00:00,3.25,4.08,587,340870,9601.17
2020-03-25 00:00,3.63,3.25,678,320851,9131.59
2020-03-26 00:00,3.42,2.21,641,303390,8741.08
2020-03-27 00:00,3.83,2.08,704,299067,8618.44
2020-03-28 00:00,4.5,4.08,552,282110,8202.18
2020-03-29 00:00,1.92,6.29,706,311702,8892.64
2020-03-30 00:00,3.63,3.88,533,307188,8791.29
2020-03-31 00:00,2.25,3.92,372,341632,9586.23
2020-04-01 00:00,5.42,7.13,71,318352,8943.35
2020-04-02 00:00,5,8.5,55,330770,9328.66
2020-04-03 00:00,3.13,5.96,367,339266,9667.31
2020-04-04 00:00,4.13,2.42,267,315481,9210.13
2020-04-05 00:00,8.04,4,719,264523,8257.13
2020-04-06 00:00,10.54,3.79,744,212739,6981.06
2020-04-07 00:00,8.54,2.96,745,195163,7031.84
2020-04-08 00:00,8.88,2.88,575,203986,7293.13
2020-04-09 00:00,6.33,4.71,634,210681,6889.97
2020-04-10 00:00,4.17,3.46,664,248532,7861.24
2020-04-11 00:00,5.38,1.88,47,274125,8810.98
2020-04-12 00:00,9,5.67,608,223302,7566.47
2020-04-13 00:00,3.83,6.67,600,269137,8706.24
2020-04-14 00:00,4.17,5.13,434,301656,8642.88
2020-04-15 00:00,7.33,6.79,459,258285,7794.15
2020-04-16 00:00,7.33,5.17,591,230531,7530.66
2020-04-17 00:00,6.17,1.96,773,233415,7918.82
2020-04-18 00:00,6.38,2.58,766,214623,7487.52
2020-04-19 00:00,6.92,3,783,210802,7256.48
2020-04-20 00:00,8.42,3,795,203325,7146.36
2020-04-21 00:00,9.42,4.25,806,183157,6759.96
2020-04-22 00:00,9.88,3.42,812,175026,6465.67
2020-04-23 00:00,10.96,1.96,799,159538,6041.6
2020-04-24 00:00,7.67,5.38,436,173331,6399.15
2020-04-25 00:00,8.04,3.13,577,182633,6472.48
2020-04-26 00:00,6.63,2.75,2,204559,7046.68
2020-04-27 00:00,6.25,1.67,3,254213,8280.59
2020-04-28 00:00,6.83,2,359,234694,7746.04
2020-04-29 00:00,6.92,4.21,2,237130,7811.89
2020-04-30 00:00,7.63,3.75,82,243818,7919.86
2020-05-01 00:00,7.38,2.33,81,246695,8055.9
2020-05-02 00:00,7.67,2.67,154,221451,7417.65
2020-05-03 00:00,7.42,4,361,221283,7542.12
2020-05-04 00:00,6.54,4.38,769,225931,7734.36
2020-05-05 00:00,7.21,2.67,693,208240,7221.73
2020-05-06 00:00,7.08,5.63,428,221217,7502.34
