﻿Dato,Wind,Temp,Sun,MWh,Flow
01-01-2020 00:00,5.21,4.29,40,373686,11049.86
02-01-2020 00:00,6.13,4.42,0,388693,11408.08
03-01-2020 00:00,5.5,5.29,31,369654,10790.46
04-01-2020 00:00,6.38,3.29,240,383225,11260.85
05-01-2020 00:00,3.42,3.79,5,396924,11696.14
06-01-2020 00:00,4.67,5.83,0,368927,10838.81
07-01-2020 00:00,5.54,5.83,70,365760,10678.15
08-01-2020 00:00,5.92,6.5,46,353054,10340.4
09-01-2020 00:00,3.83,5.21,0,366814,10663.38
10-01-2020 00:00,3.42,4.04,17,369348,10740.52
11-01-2020 00:00,6.83,4.5,0,393587,11384.6
12-01-2020 00:00,4.25,6.38,0,342459,10056.95
13-01-2020 00:00,3.92,4.25,74,380597,11084.02
14-01-2020 00:00,7.67,6.96,60,357564,10391.62
15-01-2020 00:00,7.08,7.08,0,344338,10149.67
16-01-2020 00:00,5.17,5.75,136,367589,10828.92
17-01-2020 00:00,3.71,5.88,122,359675,10549.62
18-01-2020 00:00,5.04,4.29,50,360757,10525.77
19-01-2020 00:00,3.63,3.17,359,377291,11057.47
20-01-2020 00:00,4.5,5.29,40,382960,11190.07
21-01-2020 00:00,6.08,5.71,0,366783,10676.54
22-01-2020 00:00,3.79,4.21,311,366783,10651.23
23-01-2020 00:00,4.17,5.21,0,366514,10714.74
24-01-2020 00:00,4.38,5.75,2,340646,10393.56
25-01-2020 00:00,3.38,5.29,6,340646,10143.44
26-01-2020 00:00,4.04,3.92,1,361220,10716.83
27-01-2020 00:00,3.79,5.38,10,358323,10647.42
28-01-2020 00:00,4.38,4.17,6,357249,10558.61
29-01-2020 00:00,4.67,4.13,189,368482,10996.21
30-01-2020 00:00,6.75,6.38,0,357692,10656.03
31-01-2020 00:00,6.46,7.13,1,344571,10303.25
01-02-2020 00:00,8.17,7.25,18,321265,9686.59
02-02-2020 00:00,3.88,3.21,77,360596,10880.77
03-02-2020 00:00,3.71,4.29,26,370355,11057.62
04-02-2020 00:00,4.29,2.46,238,379796,11419.48
05-02-2020 00:00,3.75,2.21,270,414735,12568.61
06-02-2020 00:00,5.33,5.88,15,372366,11141.3
07-02-2020 00:00,2.46,4.17,0,362260,10891.3
08-02-2020 00:00,3.79,3.17,55,373840,10325.02
09-02-2020 00:00,10.38,6.33,0,361231,9915.54
10-02-2020 00:00,8.42,4.58,64,368858,10104.99
11-02-2020 00:00,7.33,3.21,80,385838,10699.18
12-02-2020 00:00,7.42,3.17,42,408866,11372.86
13-02-2020 00:00,3.42,2.54,128,396734,10911.92
14-02-2020 00:00,2.63,2.88,67,394207,10834.24
15-02-2020 00:00,6.5,6.42,0,361897,9993.87
16-02-2020 00:00,9.67,7.83,0,330720,9195.07
17-02-2020 00:00,9.58,6.04,35,388436,10851.93
18-02-2020 00:00,6.88,4.75,129,383656,10638.85
19-02-2020 00:00,4.42,3.96,209,373365,10429.33
20-02-2020 00:00,6.38,4.71,0,379325,10494.09
21-02-2020 00:00,7.5,4.96,80,384874,10700.73
22-02-2020 00:00,11.08,6,79,365036,10220.38
23-02-2020 00:00,6.88,4.04,16,384325,10735.76
24-02-2020 00:00,3.88,2.96,0,404080,11174.78
25-02-2020 00:00,8.88,3.13,13,409588,11277.47
26-02-2020 00:00,2.71,0.25,37,423705,11688.28
27-02-2020 00:00,1.92,1,258,402639,11596.52
28-02-2020 00:00,4.67,3.25,283,379753,10637.46
29-02-2020 00:00,5.5,4.46,86,361600,10088.83
01-03-2020 00:00,6.92,4.25,139,361753,10094.77
02-03-2020 00:00,2.79,3.5,153,375632,10365.84
03-03-2020 00:00,2.17,3.46,164,361162,9962.04
04-03-2020 00:00,2.58,2.33,312,380896,10561.62
05-03-2020 00:00,1.75,1.88,248,375409,10447.5
06-03-2020 00:00,4.83,2.08,56,394756,10866.92
07-03-2020 00:00,2.13,2.08,278,381646,10596.37
08-03-2020 00:00,6.75,6.38,0,357930,10596.37
09-03-2020 00:00,2.96,6.08,89,340577,9509.39
10-03-2020 00:00,5.79,5.67,0,353673,9706.23
11-03-2020 00:00,7.21,6.21,378,329446,9282.65
12-03-2020 00:00,9.75,5.17,175,350216,9761.62
13-03-2020 00:00,5.08,3.21,208,362476,10097.58
14-03-2020 00:00,3.17,1.46,571,363791,10320.11
15-03-2020 00:00,6.79,6.21,0,347244,9724.35
16-03-2020 00:00,4.04,6.29,107,327290,9266.86
17-03-2020 00:00,5.54,6.21,44,341911,9683.67
18-03-2020 00:00,5.92,7.04,1,329638,9364.86
19-03-2020 00:00,3.08,4.79,402,319909,9102.94
20-03-2020 00:00,3.17,3.71,565,313252,8910.49
21-03-2020 00:00,2.96,1.96,645,332727,9441.68
22-03-2020 00:00,3.17,1.75,490,346548,9787.38
23-03-2020 00:00,3.67,1.92,684,356994,10064.61
24-03-2020 00:00,4.08,3.25,587,340870,9601.17
25-03-2020 00:00,3.25,3.63,678,320851,9131.59
26-03-2020 00:00,2.21,3.42,641,303390,8741.08
27-03-2020 00:00,2.08,3.83,704,299067,8618.44
28-03-2020 00:00,4.08,4.5,552,282110,8202.18
29-03-2020 00:00,6.29,1.92,706,311702,8892.64
30-03-2020 00:00,3.88,3.63,533,307188,8791.29
31-03-2020 00:00,3.92,2.25,372,341632,9586.23
01-04-2020 00:00,7.13,5.42,71,318352,8943.35
02-04-2020 00:00,8.5,5,55,330770,9328.66
03-04-2020 00:00,5.96,3.13,367,339266,9667.31
04-04-2020 00:00,2.42,4.13,267,315481,9210.13
05-04-2020 00:00,4,8.04,719,264523,8257.13
06-04-2020 00:00,3.79,10.54,744,212739,6981.06
07-04-2020 00:00,2.96,8.54,745,195163,7031.84
08-04-2020 00:00,2.88,8.88,575,203986,7293.13
09-04-2020 00:00,4.71,6.33,634,210681,6889.97
10-04-2020 00:00,3.46,4.17,664,248532,7861.24
11-04-2020 00:00,1.88,5.38,47,274125,8810.98
12-04-2020 00:00,5.67,9,608,223302,7566.47
13-04-2020 00:00,6.67,3.83,600,269137,8706.24
14-04-2020 00:00,5.13,4.17,434,301656,8642.88
