Dato,Temperatur,Middelvind,Solskin,Forbrug
2023-10-01 00:00,13.2,2.2,0.7,118
2023-10-02 00:00,16.1,2.5,0.4,92
2023-10-03 00:00,13.9,4.3,0.6,107
2023-10-04 00:00,13.1,6.3,4.3,113
2023-10-05 00:00,12.3,4.8,5.7,106
2023-10-06 00:00,15,7.7,0.2,114
2023-10-07 00:00,11.6,5.2,1.5,135
2023-10-08 00:00,7.4,1.3,4.8,171
2023-10-09 00:00,9.3,2,0.2,150
2023-10-10 00:00,12.5,3.4,0.4,137
2023-10-11 00:00,14.2,6.9,0.6,113
2023-10-12 00:00,10.3,5.1,3.8,145
2023-10-13 00:00,11.8,4.8,0,188
2023-10-14 00:00,9.3,7.2,3.5,142
2023-10-15 00:00,7.6,6.8,4,191
2023-10-16 00:00,6.8,3.6,4.9,180
2023-10-17 00:00,7,2.3,5.5,171
2023-10-18 00:00,7.5,2.1,4.5,214
2023-10-19 00:00,7.3,9.4,0,202
2023-10-20 00:00,4.9,12,0,238
2023-10-21 00:00,7.5,7.7,0,240
2023-10-22 00:00,10.1,3.6,0.2,174
2023-10-23 00:00,8.9,2.8,3.1,184
2023-10-24 00:00,8.9,5.5,0.3,184
2023-10-25 00:00,9.8,5,0.3,180
2023-10-26 00:00,7.8,4.8,0.1,208
2023-10-27 00:00,6.7,4.2,0.3,213
2023-10-28 00:00,6.9,4.9,0,227
2023-10-29 00:00,9.9,5.9,0.9,218
2023-10-30 00:00,10.7,5.2,2.6,183
2023-10-31 00:00,3.8,4.3,1.2,236
2023-11-01 00:00,4,4,0.5,280
2023-11-02 00:00,10.1,6,1.6,197
2023-11-03 00:00,9.4,5.6,0.2,224
2023-11-04 00:00,8.3,4.7,0.1,218
2023-11-05 00:00,8.5,3.1,0.2,222
2023-11-06 00:00,8.8,3.4,3.3,174
2023-11-07 00:00,7.9,3.2,1.7,233
2023-11-08 00:00,8.3,4.1,3.3,182
2023-11-09 00:00,7.8,2,0.2,194
2023-11-10 00:00,6.6,3,1.9,221
2023-11-11 00:00,5.9,1.2,0.4,238
2023-11-12 00:00,5.7,1.6,1.6,218
2023-11-13 00:00,5.2,4.3,0.5,264
2023-11-14 00:00,5.8,4.9,0,229
2023-11-15 00:00,4.1,3.4,0.2,271
2023-11-16 00:00,3.3,4.9,0.6,288
2023-11-17 00:00,3.1,3,0.4,263
2023-11-18 00:00,2.7,3.6,2.9,284
2023-11-19 00:00,5.8,4.1,0,243
2023-11-20 00:00,6.3,3.4,0,221
2023-11-21 00:00,3.5,2.6,0.1,271
2023-11-22 00:00,3.5,5.6,0,279
2023-11-23 00:00,8.7,10.2,0.1,245
2023-11-24 00:00,2.5,6.2,2.1,263
2023-11-25 00:00,1.3,3,4.9,246
2023-11-26 00:00,-1.5,1.7,0.6,361
2023-11-27 00:00,0.3,5.6,0.2,340
2023-11-28 00:00,-4.8,2.9,3.1,419
2023-11-29 00:00,-6.1,1.8,5.3,448
2023-11-30 00:00,-4.4,2.5,1.6,453
